PLAYERS	14			PASSING				RUSHING			RECEIVING				MISC			TOTAL
PLAYER, TEAM POS	Player	Team	Position	    C/A	  YDS	   TD	  INT	 RUSH	  YDS	   TD	  REC	  YDS	   TD	  TAR	  2PC	 FUML	   TD	PTS
Latavius Murray, Min RB  Q	Latavius Murray	 Min RB  Q		0/0	0	0	0	195	788	12	33	264	0	42	0	1	0	164
Brock Osweiler, Cle QB	Brock Osweiler	 Cle QB		301/510	2957	15	16	30	131	2	1	-14	0	1	0	1	0	159
Brandin Cooks, NE WR	Brandin Cooks	 NE WR		0/0	0	0	0	6	30	0	78	1173	8	117	0	0	0	159
Michael Thomas, NO WR	Michael Thomas	 NO WR		0/0	0	0	0	0	0	0	92	1137	9	122	0	2	0	157
Vikings D/ST D/ST	#VALUE!	#VALUE!		0/0	0	0	0	0	0	0	0	0	0	0	0	0	7	157
Carlos Hyde, SF RB  Q	Carlos Hyde	 SF RB  Q		0/0	0	0	0	217	988	6	27	163	3	33	1	3	0	154
Isaiah Crowell, Cle RB	Isaiah Crowell	 Cle RB		0/0	0	0	0	198	952	7	40	319	0	52	0	2	0	153
Doug Baldwin, Sea WR	Doug Baldwin	 Sea WR		42736	15	1	0	3	2	0	94	1128	7	126	0	0	0	152
Lamar Miller, Hou RB	Lamar Miller	 Hou RB		0/0	0	0	0	268	1073	5	31	188	1	40	0	1	0	148
Tevin Coleman, Atl RB  Q	Tevin Coleman	 Atl RB  Q		0/0	0	0	0	118	520	8	31	421	3	40	0	0	0	148
Spencer Ware, KC RB	Spencer Ware	 KC RB		0/0	0	0	0	214	921	3	33	447	2	42	0	3	0	147
Jeremy Hill, Cin RB	Jeremy Hill	 Cin RB		0/0	0	0	0	222	839	9	21	174	0	27	0	0	0	147
Broncos D/ST D/ST	#VALUE!	#VALUE!		0/0	0	0	0	0	0	0	0	0	0	0	0	0	4	146
Adam Vinatieri, Ind K	Adam Vinatieri	 Ind K		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	145
Michael Crabtree, Oak WR	Michael Crabtree	 Oak WR		0/0	0	0	0	0	0	0	89	1003	8	145	1	0	0	144
Caleb Sturgis, Phi K	Caleb Sturgis	 Phi K		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	144
Tyreek Hill, KC WR	Tyreek Hill	 KC WR		0/0	0	0	0	24	267	3	61	593	6	83	0	1	3	144
Matt Prater, Det K	Matt Prater	 Det K		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	143
Dustin Hopkins, Wsh K	Dustin Hopkins	 Wsh K		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	143
Cardinals D/ST D/ST	#VALUE!	#VALUE!		0/0	0	0	0	0	0	0	0	0	0	0	0	0	3	143
Tyrell Williams, SD WR	Tyrell Williams	 SD WR		0/0	0	0	0	0	0	0	69	1059	7	120	0	0	0	142
Matt Forte, NYJ RB  Q	Matt Forte	 NYJ RB  Q		0/0	0	0	0	218	813	7	30	263	1	43	0	1	0	141
Rishard Matthews, Ten WR	Rishard Matthews	 Ten WR		0/0	0	0	0	0	0	0	65	945	9	108	0	1	0	141
Todd Gurley, LA RB	Todd Gurley	 LA RB		0/0	0	0	0	278	885	6	43	327	0	57	0	1	0	141
Wil Lutz, NO K	Wil Lutz	 NO K		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	141
Chiefs D/ST D/ST	#VALUE!	#VALUE!		0/0	0	0	0	0	0	0	0	0	0	0	0	0	8	140
Amari Cooper, Oak WR	Amari Cooper	 Oak WR		0/0	0	0	0	1	0	0	83	1153	5	132	2	0	0	139
Nick Novak, Hou K	Nick Novak	 Hou K		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	135
Stephen Gostkowski, NE K	Stephen Gostkowski	 NE K		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	135
Dan Bailey, Dal K	Dan Bailey	 Dal K		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	135
Cairo Santos, KC K	Cairo Santos	 KC K		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	135
Sebastian Janikowski, Oak K	Sebastian Janikowski	 Oak K		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	134
Steven Hauschka, Buf K	Steven Hauschka	 Buf K		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	134
Graham Gano, Car K  Q	Graham Gano	 Car K  Q		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	133
Travis Kelce, KC TE  Q	Travis Kelce	 KC TE  Q		0/0	0	0	0	1	-5	0	85	1125	4	117	1	0	0	133
Larry Fitzgerald, Ari WR	Larry Fitzgerald	 Ari WR		0/1	0	0	0	2	5	0	107	1023	6	150	0	1	0	131
Demaryius Thomas, Den WR	Demaryius Thomas	 Den WR		0/0	0	0	0	0	0	0	90	1083	5	145	1	2	0	130
Giants D/ST D/ST	#VALUE!	#VALUE!		0/0	0	0	0	0	0	0	0	0	0	0	0	0	4	130
Jonathan Stewart, Car RB	Jonathan Stewart	 Car RB		0/0	0	0	0	218	824	9	8	60	0	20	0	2	0	129
