PLAYERS	14			PASSING				RUSHING			RECEIVING				MISC			TOTAL
PLAYER, TEAM POS	Player	Team	Position	    C/A	  YDS	   TD	  INT	 RUSH	  YDS	   TD	  REC	  YDS	   TD	  TAR	  2PC	 FUML	   TD	PTS
Zach Miller, Chi TE  Q	Zach Miller	 Chi TE  Q		0/0	0	0	0	0	0	0	47	486	4	65	0	0	0	69
Rob Gronkowski, NE TE  Q	Rob Gronkowski	 NE TE  Q		0/0	0	0	0	0	0	0	25	540	3	38	0	0	0	69
Blaine Gabbert, SF QB	Blaine Gabbert	 SF QB		91/160	925	5	6	40	173	2	1	-16	0	1	0	0	0	69
Donte Moncrief, Ind WR  Q	Donte Moncrief	 Ind WR  Q		0/0	0	0	0	1	-1	0	30	307	7	56	0	0	0	69
Lions D/ST D/ST	#VALUE!	#VALUE!		0/0	0	0	0	0	0	0	0	0	0	0	0	0	3	69
Gary Barnidge, Cle TE	Gary Barnidge	 Cle TE		0/0	0	0	0	0	0	0	55	612	2	81	1	0	0	68
Jacquizz Rodgers, TB RB	Jacquizz Rodgers	 TB RB		0/0	0	0	0	129	560	2	13	98	0	16	0	0	0	68
Brian Quick, Wsh WR	Brian Quick	 Wsh WR		0/0	0	0	0	0	0	0	41	564	3	79	0	0	0	68
Adam Humphries, TB WR	Adam Humphries	 TB WR		0/0	0	0	0	5	18	0	55	622	2	82	1	0	0	68
Robby Anderson, NYJ WR	Robby Anderson	 NYJ WR		0/0	0	0	0	3	42	0	42	587	2	78	0	1	0	68
Matt Barkley, SF QB	Matt Barkley	 SF QB		129/216	1611	8	14	7	2	0	1	2	1	1	0	2	0	67
Doug Martin, TB RB  SSPD	Doug Martin	 TB RB  SSPD		0/0	0	0	0	144	421	3	14	134	0	16	0	1	0	66
Zach Zenner, Det RB	Zach Zenner	 Det RB		0/0	0	0	0	88	334	4	18	196	0	23	0	1	0	66
Seth Roberts, Oak WR	Seth Roberts	 Oak WR		0/0	0	0	0	0	0	0	38	397	5	77	2	0	0	66
Bears D/ST D/ST	#VALUE!	#VALUE!		0/0	0	0	0	0	0	0	0	0	0	0	0	0	3	66
Titans D/ST D/ST	#VALUE!	#VALUE!		0/0	0	0	0	0	0	0	0	0	0	0	0	0	1	66
Chris Ivory, Jax RB	Chris Ivory	 Jax RB		0/0	0	0	0	117	439	3	20	186	0	28	0	3	0	65
Kenneth Dixon, Bal RB  SSPD	Kenneth Dixon	 Bal RB  SSPD		0/0	0	0	0	88	382	2	30	162	1	41	0	0	0	65
Vernon Davis, Wsh TE	Vernon Davis	 Wsh TE		0/0	0	0	0	0	0	0	44	583	2	59	0	0	0	64
Tyler Eifert, Cin TE  Q	Tyler Eifert	 Cin TE  Q		0/0	0	0	0	0	0	0	29	394	5	47	0	0	0	64
Robert Woods, LA WR	Robert Woods	 LA WR		0/0	0	0	0	1	6	0	51	613	1	74	0	0	0	63
Breshad Perriman, Bal WR	Breshad Perriman	 Bal WR		0/0	0	0	0	1	2	0	33	499	3	66	0	0	0	63
Kai Forbath, Min K	Kai Forbath	 Min K		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	62
Robert Griffin III, Cle QB	Robert Griffin III	 Cle QB		87/147	886	2	3	31	190	2	0	0	0	0	0	1	0	62
Matt Jones, Wsh RB	Matt Jones	 Wsh RB		0/0	0	0	0	99	460	3	8	73	0	8	0	2	0	62
Allen Hurns, Jax WR  Q	Allen Hurns	 Jax WR  Q		0/0	0	0	0	0	0	0	35	477	3	76	0	0	0	61
Tyler Boyd, Cin WR	Tyler Boyd	 Cin WR		0/0	0	0	0	4	58	0	54	603	1	81	0	1	0	61
Jeremy Maclin, KC WR	Jeremy Maclin	 KC WR		0/1	0	0	0	1	-1	0	44	536	2	76	0	0	0	60
John Brown, Ari WR	John Brown	 Ari WR		0/0	0	0	0	1	10	0	39	517	2	72	0	0	0	60
Vance McDonald, SF TE  Q	Vance McDonald	 SF TE  Q		0/0	0	0	0	0	0	0	24	391	4	45	0	0	0	59
Damien Williams, Mia RB	Damien Williams	 Mia RB		0/0	0	0	0	35	115	3	23	249	3	31	0	1	0	59
Phillip Dorsett, Ind WR	Phillip Dorsett	 Ind WR		0/0	0	0	0	2	10	0	33	528	2	60	0	0	0	59
Malcolm Mitchell, NE WR	Malcolm Mitchell	 NE WR		0/0	0	0	0	0	0	0	32	401	4	48	0	0	0	59
Redskins D/ST D/ST	#VALUE!	#VALUE!		0/0	0	0	0	0	0	0	0	0	0	0	0	0	1	59
DeAndre Washington, Oak RB	DeAndre Washington	 Oak RB		0/0	0	0	0	87	467	2	17	115	0	23	0	1	0	58
Victor Cruz, NYG WR	Victor Cruz	 NYG WR		0/0	0	0	0	0	0	0	39	586	1	72	0	1	0	57
Tajae Sharpe, Ten WR	Tajae Sharpe	 Ten WR		0/0	0	0	0	1	1	0	41	522	2	83	0	0	0	57
Kendall Wright, Chi WR	Kendall Wright	 Chi WR		0/0	0	0	0	1	15	0	29	416	3	43	0	0	0	56
Cordarrelle Patterson, Min WR	Cordarrelle Patterson	 Min WR		0/0	0	0	0	7	43	0	52	453	2	70	0	0	1	56
Marquise Goodwin, SF WR	Marquise Goodwin	 SF WR		0/0	0	0	0	0	0	0	29	431	3	68	0	0	0	56
Thomas Rawls, Sea RB	Thomas Rawls	 Sea RB		0/0	0	0	0	109	349	3	13	96	0	17	0	0	0	56
Lance Kendricks, GB TE	Lance Kendricks	 GB TE		0/0	0	0	0	0	0	0	50	499	2	88	0	1	0	55
Charcandrick West, KC RB	Charcandrick West	 KC RB		0/0	0	0	0	88	293	1	28	188	2	34	0	0	0	55
Devin Funchess, Car WR	Devin Funchess	 Car WR		0/0	0	0	0	0	0	0	23	371	4	59	1	0	0	55
Robbie Gould, SF K	Robbie Gould	 SF K		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	54
Corey Coleman, Cle WR	Corey Coleman	 Cle WR		0/0	0	0	0	2	10	0	33	413	3	74	0	0	0	54
Matt Moore, Mia QB	Matt Moore	 Mia QB		55/87	721	8	3	1	-1	0	0	0	0	0	0	0	0	53
Eddie Royal, Chi WR  Q	Eddie Royal	 Chi WR  Q		0/0	0	0	0	0	0	0	33	369	2	43	0	0	1	53
Blair Walsh, Sea K	Blair Walsh	 Sea K		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	53
Sammy Watkins, Buf WR  Q	Sammy Watkins	 Buf WR  Q		0/0	0	0	0	0	0	0	28	430	2	52	0	0	0	53
Colts D/ST D/ST	#VALUE!	#VALUE!		0/0	0	0	0	0	0	0	0	0	0	0	0	0	2	53
Sammie Coates, Pit WR  Q	Sammie Coates	 Pit WR  Q		0/0	0	0	0	4	14	0	21	435	2	49	0	0	0	52
Paul Perkins, NYG RB	Paul Perkins	 NYG RB		0/0	0	0	0	112	456	0	15	162	0	24	0	0	0	51
Rex Burkhead, NE RB	Rex Burkhead	 NE RB		0/0	0	0	0	74	344	2	17	145	0	20	0	1	0	50
Josh McCown, NYJ QB	Josh McCown	 NYJ QB		90/165	1100	6	6	7	21	0	0	0	0	0	1	4	0	49
Julius Thomas, Mia TE	Julius Thomas	 Mia TE		0/0	0	0	0	0	0	0	30	281	4	52	0	0	0	49
Jermaine Kearse, Sea WR	Jermaine Kearse	 Sea WR		0/0	0	0	0	0	0	0	41	511	1	90	0	0	0	49
Jared Goff, LA QB	Jared Goff	 LA QB		112/205	1089	5	7	8	16	1	0	0	0	0	0	2	0	49
Ryan Griffin, Hou TE	Ryan Griffin	 Hou TE		0/0	0	0	0	0	0	0	50	442	2	75	0	1	0	48
Clive Walford, Oak TE	Clive Walford	 Oak TE		0/0	0	0	0	0	0	0	33	359	3	52	0	0	0	48
Jermaine Gresham, Ari TE	Jermaine Gresham	 Ari TE		0/0	0	0	0	0	0	0	37	391	2	61	0	0	0	47
Travaris Cadet, NO RB	Travaris Cadet	 NO RB		0/0	0	0	0	4	19	0	40	281	4	53	0	0	0	47
Albert Wilson, KC WR	Albert Wilson	 KC WR		0/0	0	0	0	2	50	1	31	279	2	51	0	0	0	46
Chris Conley, KC WR	Chris Conley	 KC WR		0/0	0	0	0	0	0	0	44	530	0	69	0	0	0	46
Josh Brown*, NYG K  O	Josh Brown*	 NYG K  O		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	45
Dion Sims, Chi TE	Dion Sims	 Chi TE		0/0	0	0	0	0	0	0	26	256	4	35	0	0	0	45
Jeremy Langford, Chi RB	Jeremy Langford	 Chi RB		0/0	0	0	0	62	200	4	19	142	0	27	0	2	0	45
Dorial Green-Beckham, Phi WR	Dorial Green-Beckham	 Phi WR		0/0	0	0	0	0	0	0	36	392	2	74	0	0	0	45
Nelson Agholor, Phi WR	Nelson Agholor	 Phi WR		0/0	0	0	0	5	14	0	36	365	2	70	1	0	0	45
Jesse James, Pit TE	Jesse James	 Pit TE		0/0	0	0	0	0	0	0	39	338	3	59	0	0	0	45
Jay Cutler, Chi QB  Q	Jay Cutler	 Chi QB  Q		81/137	1059	4	5	5	24	0	0	0	0	0	0	2	0	44
Andrew Hawkins, Cle WR	Andrew Hawkins	 Cle WR		0/0	0	0	0	2	0	0	33	324	3	54	0	0	0	44
Garrett Celek, SF TE	Garrett Celek	 SF TE		0/0	0	0	0	0	0	0	29	350	3	50	0	1	0	44
Jets D/ST D/ST	#VALUE!	#VALUE!		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	43
Danny Amendola, NE WR	Danny Amendola	 NE WR		0/0	0	0	0	0	0	0	23	243	4	29	0	1	0	42
Alfred Blue, Hou RB	Alfred Blue	 Hou RB		0/0	0	0	0	100	420	1	12	40	0	16	0	1	0	42
Jamize Olawale, Oak RB	Jamize Olawale	 Oak RB		0/0	0	0	0	17	47	2	12	227	1	14	0	0	0	41
Wendell Smallwood, Phi RB  Q	Wendell Smallwood	 Phi RB  Q		0/0	0	0	0	77	312	1	6	55	0	12	0	1	1	41
Torrey Smith, Phi WR	Torrey Smith	 Phi WR		0/0	0	0	0	0	0	0	20	267	3	49	0	0	0	40
Russell Shepard, TB WR	Russell Shepard	 TB WR		0/0	0	0	0	1	9	0	23	341	2	40	0	0	0	40
Austin Hooper, Atl TE	Austin Hooper	 Atl TE		0/0	0	0	0	0	0	0	19	271	3	27	0	0	0	40
Aldrick Robinson, SF WR	Aldrick Robinson	 SF WR		0/0	0	0	0	0	0	0	20	323	2	32	0	0	0	39
Justin Hunter, Pit WR	Justin Hunter	 Pit WR		0/0	0	0	0	0	0	0	10	189	4	24	0	0	0	39
Brandon Coleman, NO WR	Brandon Coleman	 NO WR		0/0	0	0	0	0	0	0	26	281	3	38	0	0	0	39
Justin Hardy, Atl WR	Justin Hardy	 Atl WR		0/0	0	0	0	0	0	0	21	203	4	32	0	0	0	39
Will Tye, NYG TE	Will Tye	 NYG TE		0/0	0	0	0	0	0	0	48	395	1	70	0	0	0	39
C.J. Prosise, Sea RB  Q	C.J. Prosise	 Sea RB  Q		0/0	0	0	0	30	172	1	17	208	0	19	0	0	0	39
Fozzy Whittaker, Car RB	Fozzy Whittaker	 Car RB		0/0	0	0	0	57	265	0	25	226	0	33	0	1	0	37
Charles Sims, TB RB  Q	Charles Sims	 TB RB  Q		0/0	0	0	0	51	149	1	24	190	1	32	0	1	0	37
Jared Cook, Oak TE	Jared Cook	 Oak TE		0/0	0	0	0	0	0	0	30	377	1	51	0	1	0	36
Eddie Lacy, Sea RB  Q	Eddie Lacy	 Sea RB  Q		0/0	0	0	0	71	360	0	4	28	0	7	0	0	0	36
Brice Butler, Dal WR	Brice Butler	 Dal WR		0/0	0	0	0	0	0	0	16	219	3	32	0	0	0	36
Quinton Patton, NYJ WR  Q	Quinton Patton	 NYJ WR  Q		0/0	0	0	0	0	0	0	37	408	0	63	0	0	0	36
Jacob Tamme, Atl TE  Q	Jacob Tamme	 Atl TE  Q		0/0	0	0	0	0	0	0	22	210	3	31	0	0	0	35
Justin Forsett, Den RB	Justin Forsett	 Den RB		0/0	0	0	0	87	291	1	20	85	0	27	0	1	0	35
Ladarius Green, Pit TE  Q	Ladarius Green	 Pit TE  Q		0/0	0	0	0	0	0	0	18	304	1	34	0	0	0	35
Darrius Heyward-Bey, Pit WR	Darrius Heyward-Bey	 Pit WR		0/0	0	0	0	1	60	1	6	114	2	19	0	0	0	34
Randy Bullock, Cin K	Randy Bullock	 Cin K		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	34
Joshua Bellamy, Chi WR	Joshua Bellamy	 Chi WR		0/0	0	0	0	4	37	0	19	282	1	38	0	0	0	34
Landry Jones, Pit QB	Landry Jones	 Pit QB		53/86	558	4	2	6	-4	0	0	0	0	0	0	0	0	34
Levine Toilolo, Atl TE	Levine Toilolo	 Atl TE		0/0	0	0	0	0	0	0	13	264	2	19	0	0	0	34
Jimmy Garoppolo, NE QB	Jimmy Garoppolo	 NE QB		43/63	502	4	0	10	6	0	1	3	0	1	0	1	0	34
Saints D/ST D/ST	#VALUE!	#VALUE!		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	34
James Starks, GB RB  Q	James Starks	 GB RB  Q		0/0	0	0	0	63	145	0	19	134	2	25	0	0	0	33
Kamar Aiken, Ind WR	Kamar Aiken	 Ind WR		0/0	0	0	0	0	0	0	29	328	1	50	0	0	0	33
Erik Swoope, Ind TE	Erik Swoope	 Ind TE		0/0	0	0	0	0	0	0	15	297	1	22	0	0	0	33
John Kuhn, NO RB	John Kuhn	 NO RB		0/0	0	0	0	18	37	4	16	70	1	20	0	0	0	32
Deonte Thompson, Chi WR	Deonte Thompson	 Chi WR		0/0	0	0	0	0	0	0	22	249	2	36	0	1	0	32
Richard Rodgers, GB TE	Richard Rodgers	 GB TE		0/0	0	0	0	0	0	0	30	271	2	46	0	0	0	32
Trey Burton, Phi TE	Trey Burton	 Phi TE		0/0	0	0	0	0	0	0	37	327	1	60	0	0	0	32
Kenyan Drake, Mia RB	Kenyan Drake	 Mia RB		0/0	0	0	0	33	179	2	9	46	0	10	0	0	1	32
Bryan Walters, Jax WR	Bryan Walters	 Jax WR		0/0	0	0	0	1	4	0	24	231	2	34	0	1	0	31
Dion Lewis, NE RB  Q	Dion Lewis	 NE RB  Q		0/0	0	0	0	64	283	0	17	94	0	24	0	0	0	31
Alfred Morris, Dal RB	Alfred Morris	 Dal RB		0/0	0	0	0	69	243	2	3	11	0	6	0	0	0	31
Cobi Hamilton, Pit WR	Cobi Hamilton	 Pit WR		0/0	0	0	0	0	0	0	17	234	2	28	0	0	0	31
Paul Richardson, Sea WR	Paul Richardson	 Sea WR		0/0	0	0	0	1	5	0	21	288	1	36	0	0	0	31
Aaron Ripkowski, GB RB	Aaron Ripkowski	 GB RB		0/0	0	0	0	34	150	2	9	46	1	10	0	0	0	31
Dwayne Washington, Det RB	Dwayne Washington	 Det RB		0/0	0	0	0	90	265	1	10	62	0	15	0	0	0	31
Andre Roberts, Atl WR	Andre Roberts	 Atl WR		0/0	0	0	0	0	0	0	14	188	1	25	0	1	2	30
Eric Decker, NYJ WR  Q	Eric Decker	 NYJ WR  Q		0/0	0	0	0	0	0	0	9	194	2	21	0	0	0	30
Kyle Juszczyk, SF RB	Kyle Juszczyk	 SF RB		0/0	0	0	0	5	22	1	37	266	0	49	1	0	0	30
Geronimo Allison, GB WR	Geronimo Allison	 GB WR		0/0	0	0	0	0	0	0	12	202	2	22	0	0	0	30
Bryce Petty, NYJ QB  Q	Bryce Petty	 NYJ QB  Q		75/133	809	3	7	5	19	0	0	0	0	0	1	1	0	29
Corey Grant, Jax RB	Corey Grant	 Jax RB		0/0	0	0	0	32	164	1	4	35	1	7	0	0	0	29
Andre Holmes, Buf WR	Andre Holmes	 Buf WR		0/0	0	0	0	0	0	0	14	126	3	25	0	0	0	27
Nick Foles, Phi QB	Nick Foles	 Phi QB		36/55	410	3	0	4	-4	0	0	0	0	0	0	0	0	27
Rod Streater, SF WR	Rod Streater	 SF WR		0/0	0	0	0	0	0	0	18	191	2	27	0	0	0	27
Kerwynn Williams, Ari RB	Kerwynn Williams	 Ari RB		0/0	0	0	0	18	157	2	1	6	0	2	0	0	0	27
Corey Brown, Buf WR	Corey Brown	 Buf WR		0/0	0	0	0	2	6	0	27	276	1	53	0	1	0	27
Cameron Artis-Payne, Car RB	Cameron Artis-Payne	 Car RB		0/0	0	0	0	36	144	2	1	11	0	1	0	0	0	26
Paxton Lynch, Den QB	Paxton Lynch	 Den QB		49/83	497	2	1	11	25	0	0	0	0	0	0	0	0	26
Jacoby Brissett, NE QB	Jacoby Brissett	 NE QB		34/55	400	0	0	16	83	1	0	0	0	0	0	1	0	26
Jordan Taylor, Den WR	Jordan Taylor	 Den WR		0/0	0	0	0	0	0	0	16	209	2	27	0	1	0	26
Peyton Barber, TB RB	Peyton Barber	 TB RB		0/0	0	0	0	55	223	1	5	28	0	6	0	0	0	26
Virgil Green, Den TE	Virgil Green	 Den TE		0/0	0	0	0	0	0	0	22	237	1	37	0	0	0	25
C.J. Uzomah, Cin TE	C.J. Uzomah	 Cin TE		0/0	0	0	0	0	0	0	25	234	1	38	0	0	0	25
Tanner McEvoy, Sea WR	Tanner McEvoy	 Sea WR		42736	43	0	0	0	0	0	9	140	2	11	0	0	0	25
Chester Rogers, Ind WR	Chester Rogers	 Ind WR		0/0	0	0	0	0	0	0	19	273	0	35	0	0	0	25
Kenjon Barner, Phi RB	Kenjon Barner	 Phi RB		0/0	0	0	0	27	129	2	5	42	0	11	0	0	0	24
Demetrius Harris, KC TE	Demetrius Harris	 KC TE		0/0	0	0	0	0	0	0	17	123	1	31	1	0	1	24
Shane Vereen, NYG RB  Q	Shane Vereen	 NYG RB  Q		0/0	0	0	0	33	158	1	11	94	0	19	0	2	0	23
Bennie Fowler, Den WR	Bennie Fowler	 Den WR		0/0	0	0	0	0	0	0	11	145	2	24	0	0	0	23
49ers D/ST D/ST	#VALUE!	#VALUE!		0/0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
DuJuan Harris, SF RB	DuJuan Harris	 SF RB		0/0	0	0	0	38	138	0	8	115	1	9	0	2	0	22
Kapri Bibbs, Den RB	Kapri Bibbs	 Den RB		0/0	0	0	0	29	129	0	2	75	1	4	0	0	0	22
Orleans Darkwa, NYG RB	Orleans Darkwa	 NYG RB		0/0	0	0	0	30	111	2	2	12	0	4	0	0	0	22
Marquess Wilson, Chi WR  Q	Marquess Wilson	 Chi WR  Q		0/0	0	0	0	0	0	0	9	160	1	16	0	0	0	21
Jaron Brown, Ari WR  Q	Jaron Brown	 Ari WR  Q		0/0	0	0	0	0	0	0	11	187	1	22	0	0	0	21
Josh Huff, TB WR	Josh Huff	 TB WR		0/1	0	0	0	4	15	0	16	113	1	23	0	0	1	21
Seth DeValve, Cle TE	Seth DeValve	 Cle TE		0/0	0	0	0	0	0	0	10	127	2	13	0	0	0	21
Jalin Marshall, NYJ WR  SSPD	Jalin Marshall	 NYJ WR  SSPD		0/0	0	0	0	0	0	0	14	162	2	23	0	2	0	21
Xavier Grimble, Pit TE	Xavier Grimble	 Pit TE		0/0	0	0	0	0	0	0	11	118	2	21	0	0	0	21
Marcedes Lewis, Jax TE  Q	Marcedes Lewis	 Jax TE  Q		0/0	0	0	0	0	0	0	20	169	1	30	0	0	0	20
Mychal Rivera, Jax TE	Mychal Rivera	 Jax TE		0/0	0	0	0	0	0	0	18	192	1	25	0	0	0	20
Luke Willson, Sea TE	Luke Willson	 Sea TE		0/0	0	0	0	0	0	0	15	129	2	21	0	0	0	20
Jeff Janis, GB WR	Jeff Janis	 GB WR		0/0	0	0	0	2	38	1	11	93	1	19	0	0	0	20
Ameer Abdullah, Det RB	Ameer Abdullah	 Det RB		0/0	0	0	0	18	101	0	5	57	1	5	0	0	0	20
Charone Peake, NYJ WR	Charone Peake	 NYJ WR		0/0	0	0	0	0	0	0	19	186	0	34	0	0	0	20
Andre Johnson, Ten WR	Andre Johnson	 Ten WR		0/0	0	0	0	0	0	0	9	85	2	23	0	0	0	19
Harry Douglas, Ten WR	Harry Douglas	 Ten WR		0/0	0	0	0	0	0	0	15	210	0	22	0	0	0	19
Mike Tolbert, Buf RB	Mike Tolbert	 Buf RB		0/0	0	0	0	35	114	0	10	72	1	15	0	0	0	19
Danny Woodhead, Bal RB  Q	Danny Woodhead	 Bal RB  Q		0/0	0	0	0	19	116	0	6	35	1	8	0	0	0	19
Ronnie Hillman, SD RB	Ronnie Hillman	 SD RB		0/0	0	0	0	41	131	0	7	93	0	15	0	0	0	19
Charles Johnson, Min WR	Charles Johnson	 Min WR		0/0	0	0	0	0	0	0	20	232	0	37	0	0	0	19
Josh Hill, NO TE  Q	Josh Hill	 NO TE  Q		0/0	0	0	0	0	0	0	15	149	1	22	0	0	0	19
Ben Koyack, Jax TE	Ben Koyack	 Jax TE		0/0	0	0	0	0	0	0	19	161	1	24	0	0	0	19
Alex Collins, Sea RB	Alex Collins	 Sea RB		0/0	0	0	0	31	125	1	11	84	0	11	0	1	0	19
Darren Waller, Bal TE	Darren Waller	 Bal TE		0/0	0	0	0	0	0	0	10	85	2	17	0	0	0	18
Ricardo Louis, Cle WR	Ricardo Louis	 Cle WR		0/0	0	0	0	0	0	0	18	205	0	36	0	0	0	18
Roger Lewis, NYG WR	Roger Lewis	 NYG WR		0/0	0	0	0	0	0	0	7	97	2	19	0	0	0	18
Kenneth Farrow, SD RB  Q	Kenneth Farrow	 SD RB  Q		0/0	0	0	0	60	192	0	13	70	0	16	0	1	0	18
Anthony Fasano, Mia TE	Anthony Fasano	 Mia TE		0/0	0	0	0	0	0	0	8	83	2	14	0	0	0	17
Jordan Norwood, Den WR	Jordan Norwood	 Den WR		0/0	0	0	0	1	0	0	21	232	1	35	0	3	0	17
Lance Dunbar, LA RB	Lance Dunbar	 LA RB		0/0	0	0	0	9	31	1	16	122	0	24	0	0	0	17
Austin Seferian-Jenkins, NYJ TE  SSPD	Austin Seferian-Jenkins	 NYJ TE  SSPD		0/0	0	0	0	0	0	0	13	154	1	21	0	0	0	17
Tom Savage, Hou QB	Tom Savage	 Hou QB		46/73	461	0	0	6	12	0	0	0	0	0	0	1	0	17
Darren Fells, Det TE	Darren Fells	 Det TE		0/0	0	0	0	0	0	0	14	154	1	18	0	0	0	17
Freddie Martino, TB WR	Freddie Martino	 TB WR		0/0	0	0	0	0	0	0	8	142	1	11	0	0	0	17
Kevin White, Chi WR  Q	Kevin White	 Chi WR  Q		0/0	0	0	0	1	9	0	19	187	0	35	0	0	0	17
Cody Core, Cin WR	Cody Core	 Cin WR		0/0	0	0	0	0	0	0	17	200	0	27	0	0	0	17
Reggie Bush, Buf RB	Reggie Bush	 Buf RB		0/0	0	0	0	12	-3	1	7	90	0	10	1	0	0	16
Ed Dickson, Car TE	Ed Dickson	 Car TE		0/0	0	0	0	0	0	0	10	134	1	19	0	0	0	16
Bobby Rainey, NYG RB	Bobby Rainey	 NYG RB		0/0	0	0	0	17	63	0	20	153	0	25	0	1	0	16
Kevin Hogan, Cle QB	Kevin Hogan	 Cle QB		14/26	104	0	2	8	105	1	0	0	0	0	0	0	0	16
Browns D/ST D/ST	#VALUE!	#VALUE!		0/0	0	0	0	0	0	0	0	0	0	0	0	0	1	16
Derek Anderson, Car QB	Derek Anderson	 Car QB		36/53	453	2	5	1	4	0	0	0	0	0	1	1	0	15
Arrelious Benn, Jax WR	Arrelious Benn	 Jax WR		0/0	0	0	0	0	0	0	5	116	1	10	0	0	0	15
MarQueis Gray, Mia TE	MarQueis Gray	 Mia TE		0/0	0	0	0	0	0	0	14	174	0	17	0	0	0	15
Terron Ward, Atl RB	Terron Ward	 Atl RB		0/0	0	0	0	31	151	0	1	11	0	2	0	0	0	15
Daniel Brown, Chi WR, TE	Daniel Brown	 Chi WR, TE		0/0	0	0	0	0	0	0	16	124	1	20	0	0	0	15
Chris Moore, Bal WR	Chris Moore	 Bal WR		0/0	0	0	0	3	19	0	7	46	0	16	0	0	2	15
Vincent Jackson, TB WR  Q	Vincent Jackson	 TB WR  Q		0/0	0	0	0	0	0	0	15	173	0	31	0	0	0	14
Matt Cassel, Ten QB	Matt Cassel	 Ten QB		30/51	284	2	2	4	3	0	0	0	0	0	0	0	0	14
Chris Johnson, Ari RB  Q	Chris Johnson	 Ari RB  Q		0/0	0	0	0	25	95	1	0	0	0	1	0	0	0	14
Greg Salas, Buf WR  Q	Greg Salas	 Buf WR  Q		0/0	0	0	0	0	0	0	4	89	1	6	0	0	0	14
Jonathan Grimes, Hou RB	Jonathan Grimes	 Hou RB		0/0	0	0	0	23	105	0	13	94	0	18	0	0	0	14
Jerell Adams, NYG TE	Jerell Adams	 NYG TE		0/0	0	0	0	0	0	0	16	122	1	21	0	0	0	14
Mack Brown, Wsh RB	Mack Brown	 Wsh RB		0/0	0	0	0	8	82	1	1	-2	0	1	0	0	0	14
Brandon Tate, Buf WR	Brandon Tate	 Buf WR		0/0	0	0	0	3	48	0	8	117	0	11	0	0	0	13
Cecil Shorts III, TB WR  D	Cecil Shorts III	 TB WR  D		0/0	0	0	0	0	0	0	11	152	0	27	0	0	0	13
Benjamin Cunningham, Chi RB  Q	Benjamin Cunningham	 Chi RB  Q		0/0	0	0	0	21	101	0	16	91	0	21	0	0	0	13
Braxton Miller, Hou WR	Braxton Miller	 Hou WR		0/0	0	0	0	3	0	0	15	99	1	28	0	0	0	13
Markus Wheaton, Chi WR  Q	Markus Wheaton	 Chi WR  Q		0/0	0	0	0	0	0	0	4	51	1	9	1	0	0	12
Denard Robinson, Jax RB	Denard Robinson	 Jax RB		0/0	0	0	0	41	144	0	3	22	0	5	0	0	0	12
Ka'Deem Carey, Chi RB	Ka'Deem Carey	 Chi RB		0/0	0	0	0	32	126	0	5	55	0	7	0	0	0	12
Jeff Heuerman, Den TE	Jeff Heuerman	 Den TE		0/0	0	0	0	0	0	0	9	141	0	17	0	0	0	12
A.J. Derby, Den TE  Q	A.J. Derby	 Den TE  Q		0/0	0	0	0	0	0	0	16	160	0	19	0	1	0	12
Paul Turner, Phi WR	Paul Turner	 Phi WR		0/0	0	0	0	0	0	0	9	126	0	14	0	0	0	12
Brandon Myers, TB TE	Brandon Myers	 TB TE		0/0	0	0	0	0	0	0	7	59	1	14	1	0	0	11
Jarius Wright, Min WR	Jarius Wright	 Min WR		0/0	0	0	0	0	0	0	11	67	1	14	0	0	0	11
Larry Donnell, NYG TE	Larry Donnell	 NYG TE		0/0	0	0	0	0	0	0	15	92	1	22	0	1	0	11
Crockett Gillmore, Bal TE  Q	Crockett Gillmore	 Bal TE  Q		0/0	0	0	0	0	0	0	8	71	1	14	0	0	0	11
Walter Powell, Buf WR  Q	Walter Powell	 Buf WR  Q		0/0	0	0	0	0	0	0	14	142	0	25	0	0	0	11
Jaelen Strong, Hou WR  Q	Jaelen Strong	 Hou WR  Q		0/0	0	0	0	0	0	0	14	131	0	24	0	0	0	11
Tyler Higbee, LA TE	Tyler Higbee	 LA TE		0/0	0	0	0	0	0	0	11	85	1	28	0	0	0	11
Andy Janovich, Den RB  Q	Andy Janovich	 Den RB  Q		0/0	0	0	0	4	33	1	5	44	0	7	0	0	0	11
Josh Ferguson, Ind RB	Josh Ferguson	 Ind RB		0/0	0	0	0	15	20	0	20	136	0	25	0	0	0	11
Stephen Anderson, Hou TE	Stephen Anderson	 Hou TE		0/0	0	0	0	0	0	0	11	93	1	16	0	0	0	11
Brent Celek, Phi TE	Brent Celek	 Phi TE		0/0	0	0	0	0	0	0	14	155	0	19	0	0	0	10
Jamaal Charles, KC RB  Q	Jamaal Charles	 KC RB  Q		0/0	0	0	0	12	40	1	2	14	0	3	0	0	0	10
Arian Foster, Mia RB	Arian Foster	 Mia RB		0/0	0	0	0	22	55	0	6	78	0	10	0	0	0	10
